Headline,Publication,Date
Report: Hate groups up in Pennsylvania,"The Philadelphia Inquirer, PHILADELPHIA; P-com News; Pg. B02, 484 words",2/21/16
SHAMEFUL: Donald Trump is Using Racism as a Campaign Strategy,"Newstex BlogsThe Hinterland Gazette( Georgia), 1518 words",3/12/16
The dirty right,"The Money Illusion, 1145 words",3/14/16
Trump stokes more 'riot' talk,"Liberaland, 584 words",3/16/16
"How The Trump Campaign Could Evolve Into Organized Violence, In Six Steps","The Huffington Post, 3458 words",3/17/16
"US democracy at stake amid campaign violence, major Jewish group warns","The Times of Israel, 771 words",3/17/16
"Decrease in attacks on Burundian security forces indicates diminished militant capacity, but further small-arms attacks likely"," IHS Global Insight, In Brief, 396 words",3/18/16
"Decrease in attacks on Burundian security forces indicates diminished militant capacity, but further small-arms attacks likely"," IHS Global Insight, In Brief, 397 words",3/18/16
The Man the Founders Feared,"The New York Times, Section SR; Column 0Sunday Review Desk; Pg. 1; CONTRIBUTING OP-ED WRITER, 1480 words",3/20/16
The man the founders feared,"International New York Times, EDIT; Pg. 7, 1114 words",3/21/16
"US democracy at stake amid campaign violence, major Jewish group warns","US Official News, 736 words",3/21/16
Cleveland gears up for riots as Trump's circus heads to town,"The Times (London), NEWS; Pg. 37, 688 words",3/22/16
Cleveland gears up for riots as Trump's circus heads to town,"thetimes.co.uk, US & AMERICAS, 689 words",3/22/16
Anti-Defamation League Will Use Donald Trump's Donations To Fund Anti-Bullying Programs,"The Huffington Post, 884 words",3/31/16
These Immigrants Are Trying To Become Citizens To Vote Against Trump,"The Huffington Post, 582 words",4/22/16
Huffington Defends Anti-Trump Coverage as 'Responsible Journalism',"Newstex BlogsNewsbusters.org, 1488 words",4/26/16
Arianna: HuffPost Will Cover Donald Trump As 'A Buffoon And Dangerous.' Even If He's The Nominee.,"The Huffington Post, 397 words",4/26/16
Donald Trump Agrees To Sit-Down Interview With Nemesis Megyn Kelly,"The Huffington Post, 827 words",4/26/16
Trump Climbs Wall To Avoid Protests At California GOP Convention,"The Huffington Post, 575 words",4/29/16
Zimbabwe;Chimene Dismisses Violence Claims,"Africa News, 209 words",5/2/16
Chimene Dismisses Violence Claims,"The Herald (Harare), 209 words",5/2/16
One Of These Tremendous People Could Be Trump's Running Mate,"The Huffington Post, 460 words",5/4/16
Eddie Vedder Sings About Donald Trump's Penis In Concert,"The Huffington Post, 492 words",5/4/16
GOP Senate Candidates All Aboard Trump Train,"Newstex BlogsFlorida Democratic Party, 205 words",5/5/16
Florida Dems: GOP Senate Candidates All Aboard Trump Train,"Targeted News Service, 176 words",5/5/16
Florida: GOP Senate Candidates All Aboard Trump Train,"US Official News, 190 words",5/7/16
Mitt Romney Warns Of 'Demagogues On The Right' In Commencement Speech,"The Huffington Post, 469 words",5/9/16
London's New Mayor: I Won't Be Able To Visit The U.S. If Trump Wins,"The Huffington Post, 628 words",5/9/16
Ted Cruz Isn't Ready To Endorse Donald Trump Yet,"The Huffington Post, 540 words",5/10/16
Paris Mayor Joins Growing List Of World Leaders Fed Up With Trump,"The Huffington Post, 533 words",5/12/16
