Q4,Q5,Q7,Q8,Q10,Q11,Q12,Q13,Q14,Q16,Q17,Q18,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30_2,Q31_2,Q77,Q63,Q64,Q65,Q66,Q67,Q68,Q75,Q69,Q70,Q71,Q72,Q73,Q43,Q44,Q45,Q46,Q86,Q93_2,Q90_2,experiment,version,payprompt,gc,outparty,pid
Female,African American,"Less than $30,000",4-year College Degree,Democrat,NA,NA,Strong Democrat,62,No,No,Yes,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,100,2,1 - Not at all,2,1- Very unlike me,1- Very unlike me,3,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,1- Very unlike me,Iowa,Strongly oppose,Unjustified,Yes,NA,,,1,2,1,1,Republican,Democrat
Male,Asian,"$60,000 – 69,999",4-year College Degree,Democrat,NA,NA,Strong Democrat,35,Yes,Yes,Yes,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,68,65,3,3,4,3,3,3,3,3,3,2,2,3,3,Texas,Strongly support,Unjustified,Yes,NA,,,1,1,1,4,Republican,Democrat
Female,Native American,"Less than $30,000",Some College,Other,Neither,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,2,2,2,2,NA,NA
Male,Native American,"Less than $30,000",Some College,Republican,NA,Strong Republican,NA,19,Yes,Yes,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,74,26,3,4,4,3,3,4,4,3,4,3,3,3,3,Texas,Support,Justified,Yes,NA,,,1,2,1,1,Democrat,Republican
Male,African American,"$70,000 – 79,999",4-year College Degree,Democrat,NA,NA,Strong Democrat,34,No,No,Yes,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,98,77,1 - Not at all,2,1- Very unlike me,3,2,1- Very unlike me,3,3,1- Very unlike me,3,1- Very unlike me,2,3,NA,NA,NA,NA,Washington,10,30,2,3,2,1,Republican,Democrat
Male,White/Caucasian,"$100,000 or more",Doctoral Degree,Democrat,NA,NA,Strong Democrat,40,Yes,No,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,74,47,1 - Not at all,2,2,5- Very like me,1- Very unlike me,2,3,1- Very unlike me,2,1- Very unlike me,1- Very unlike me,2,1- Very unlike me,NA,NA,NA,NA,Oregon,55,46,2,2,1,1,Republican,Democrat
Male,Native American,"$50,000 – 59,999",Doctoral Degree,Democrat,NA,NA,Strong Democrat,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,1,3,2,2,NA,NA
Male,White/Caucasian,"Less than $30,000",2-year College Degree,Democrat,NA,NA,Not a strong Democrat,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,1,3,2,2,NA,NA
Female,Asian,"$40,000 – 49,999",4-year College Degree,Democrat,NA,NA,Not a strong Democrat,42,No,No,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,90,9,3,3,3,3,4,4,3,4,2,2,5- Very like me,5- Very like me,5- Very like me,NA,NA,NA,NA,Oregon,80,0,2,1,2,1,Republican,Democrat
Male,African American,"Less than $30,000",4-year College Degree,Democrat,NA,NA,Strong Democrat,46,No,No,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,100,0,1 - Not at all,5- Very like me,3,3,5- Very like me,1- Very unlike me,4,1- Very unlike me,5- Very like me,5- Very like me,5- Very like me,5- Very like me,5- Very like me,Iowa,Strongly oppose,Unjustified,Yes,NA,,,1,2,2,1,Republican,Democrat
